"TIME","TYPE","AMOUNT","CATEGORY","ACCOUNT","NOTES" 
"Feb 07, 2025 2:14 PM","(-) Expense","50.00","Social","Cash","" 
"Feb 07, 2025 2:14 PM","(-) Expense","490.00","Car","Cash","" 
"Feb 09, 2025 2:14 PM","(-) Expense","96.00","Food","Cash","" 
"Feb 09, 2025 2:14 PM","(-) Expense","60.00","Food","Cash","" 
"Feb 10, 2025 2:13 PM","(-) Expense","14.00","Transportation","Cash","" 
"Feb 10, 2025 2:14 PM","(-) Expense","90.00","Food","Cash","" 
"Feb 10, 2025 2:15 PM","(-) Expense","20.00","Transportation","Cash","" 
"Feb 10, 2025 2:15 PM","(-) Expense","14.00","Transportation","Cash","" 
"Feb 11, 2025 10:05 AM","(-) Expense","40.00","Transportation","Cash","" 
"Feb 12, 2025 10:05 AM","(-) Expense","14.00","Transportation","Cash","" 
"Feb 16, 2025 12:11 AM","(-) Expense","742.00","Social","Cash","Sunirmal Da weeding " 
"Feb 16, 2025 3:00 AM","(-) Expense","400.00","Social","Cash","" 
"Feb 17, 2025 10:08 AM","(-) Expense","14.00","Transportation","Cash","" 
"Feb 17, 2025 10:18 AM","(-) Expense","5000.00","Home","Savings","LIC + Home expenses " 
"Feb 17, 2025 10:19 AM","(-) Expense","1000.00","Transportation","Savings","My personal expenses " 
"Feb 17, 2025 10:14 PM","(-) Expense","30.00","Transportation","Cash","" 
"Feb 18, 2025 9:27 AM","(-) Expense","14.00","Transportation","Cash","" 
"Feb 18, 2025 9:28 AM","(-) Expense","10.00","Transportation","Cash","" 
"Feb 18, 2025 10:16 PM","(-) Expense","10.00","Transportation","Cash","" 
"Feb 18, 2025 10:17 PM","(-) Expense","10.00","Transportation","Cash","" 
"Feb 19, 2025 10:03 AM","(-) Expense","14.00","Transportation","Cash","" 
"Feb 19, 2025 10:35 AM","(-) Expense","184.00","Social","Savings","wedding gift for Priyanka " 
"Feb 19, 2025 8:32 PM","(-) Expense","17.00","Transportation","Cash","" 
"Feb 19, 2025 8:33 PM","(-) Expense","10.00","Transportation","Cash","" 
"Feb 20, 2025 6:32 PM","(+) Income","15.00","rewards","Savings","" 
"Feb 20, 2025 10:50 PM","(-) Expense","65.00","Transportation","Cash","" 
"Feb 21, 2025 10:45 AM","(-) Expense","14.00","Transportation","Cash","" 
"Feb 21, 2025 3:07 PM","(-) Expense","52.00","Food","Cash","Lunch" 
"Feb 21, 2025 9:29 PM","(-) Expense","25.00","Transportation","Cash","" 
